,followers_count,retweet_count,sentiment,text,username,timestamp,entrydate,entrytime,searchvalue
40,1056,0,0.0,International Business Machines Corporation $IBM Shares Bought by Afam Capital Inc https://t.co/vnsiR0y55Q,dailymailtimes,2017-12-14 13:56:08,2017-12-14,13:56:08,IBM
39,1241,0,0.0,Rikoon Group LLC Has $3.35 Million Position in International Business Machines Corporation $IBM https://t.co/YoxtvxgAaY,dakotafinancial,2017-12-14 13:56:18,2017-12-14,13:56:18,IBM
38,22,0,0.0,IBM teams up for quantum computing push https://t.co/SdGrafZYY1 $IBM $SSNLF $HMC $JPM,jppreysner,2017-12-14 13:57:43,2017-12-14,13:57:43,IBM
37,236,0,0.0,EP Wealth Advisors LLC Has $1.33 Million Position in International Business Machines Corporation $IBM https://t.co/yMkJLOauWT,emq_news,2017-12-14 13:58:18,2017-12-14,13:58:18,IBM
36,216,0,0.0,International Business Machines Corporation $IBM Position Reduced by Family Management Corp https://t.co/skRvcSQXBN,chaffeybreeze,2017-12-14 13:58:26,2017-12-14,13:58:26,IBM
35,281,0,0.0,International Business Machines Corporation $IBM Position Reduced by Family Management Corp https://t.co/uQEXWUzqDO,IRAMarketReport,2017-12-14 13:58:29,2017-12-14,13:58:29,IBM
34,1285,0,0.0,International Business Machines Corporation $IBM Shares Bought by Afam Capital Inc https://t.co/UgYT0unJez,WKRBNews,2017-12-14 14:00:28,2017-12-14,14:00:28,IBM
33,214452,0,0.0,#Blockchain News A Glimpse of Blockchain Potential and Opportunities from IBM and Attendees of recent https://t.co/jqxYNXCQNo,InvestorIdeas,2017-12-14 14:01:16,2017-12-14,14:01:16,IBM
32,3569,0,0.125,"Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners https://t.co/LlTForgIZC",NeilCHughes,2017-12-14 14:01:44,2017-12-14,14:01:44,IBM
31,1664,0,0.0,International Business Machines Corporation $IBM Shares Bought by Cetera Investment Advisers https://t.co/yM4vmu4enj,WatchlistN,2017-12-14 14:02:19,2017-12-14,14:02:19,IBM
30,897,0,0.0,International Business Machines Corporation $IBM Shares Bought by Afam Capital Inc https://t.co/FdegbnyS5w,dailypoliticaln,2017-12-14 14:04:29,2017-12-14,14:04:29,IBM
29,1801,1,0.0,RT $IBM #Watson makes treatment plan for patient with #cancer in 10 mintues #doctors take 160 hours...but its not so cut a…,saimahorg,2017-12-14 14:16:17,2017-12-14,14:16:17,IBM
28,26,0,0.125,"Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners https://t.co/vfmew89vKL",mjayharvey,2017-12-14 14:19:02,2017-12-14,14:19:02,IBM
27,2218,0,0.0,IBM Taps Samsung JPMorgan Daimler in #QuantumComputing Push Bloomberg https://t.co/yyexfNxgrr $IBM $JPM #investing,PassedPawnAdv,2017-12-14 14:28:53,2017-12-14,14:28:53,IBM
26,806,0,0.0,Cell phone visor clips for the car #patent #priorart $IBM $AAPL $Sony $Phillips,ExanderLaForgia,2017-12-14 14:29:49,2017-12-14,14:29:49,IBM
25,317,0,0.0,International Business Machines Corporation $IBM Shares Bought by Cetera Investment Advisers https://t.co/B1aX7NUOf4,stocknewstimes,2017-12-14 14:42:14,2017-12-14,14:42:14,IBM
24,1521,0,0.0,International Business Machines Corporation $IBM Shares Bought by Cetera Investment Advisers https://t.co/ZLAe6ecgQE,SleekMoneycom,2017-12-14 14:44:30,2017-12-14,14:44:30,IBM
23,214452,0,0.0,A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent Blockchain Expo Companies M https://t.co/3rc0E8uRcR,InvestorIdeas,2017-12-14 14:47:56,2017-12-14,14:47:56,IBM
22,186,0,0.0,EP Wealth Advisors LLC Has $1.33 Million Position in International Business Machines Corporation $IBM https://t.co/Avy8SWFlf1,WeekHerald,2017-12-14 14:48:46,2017-12-14,14:48:46,IBM
21,214452,0,0.0,#Blockchain News A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent https://t.co/LCkP5uP1wF,InvestorIdeas,2017-12-14 15:01:31,2017-12-14,15:01:31,IBM
20,1072,0,0.0,RT IBM Taps Samsung JPMorgan Daimler in #QuantumComputing Push Bloomberg https://t.co/g4yrWeM5BZ $IBM $JPM #investing,igor_tsukerman,2017-12-14 15:02:14,2017-12-14,15:02:14,IBM
19,5678,0,0.25,Get the latest ratings for $IBM $CHTP $TYPE $EBIX $BRKL in your inbox with MarketBeat Daily https://t.co/nSJuDsYidj,RatingsNetwork,2017-12-14 15:45:09,2017-12-14,15:45:09,IBM
18,214452,0,0.0,#BlockchainExpo A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent Blockchain https://t.co/RIXtbK4aim,InvestorIdeas,2017-12-14 15:50:13,2017-12-14,15:50:13,IBM
17,148,7,0.6,RT _Lumens This article was written today 12/14/2017 by The Motley Fool #bitcoin #blockchain…,BLux01,2017-12-14 15:50:42,2017-12-14,15:50:42,IBM
16,29341,7,0.6,RT _Lumens This article was written today 12/14/2017 by The Motley Fool #bitcoin #blockchain…,StartUpRealTime,2017-12-14 15:50:59,2017-12-14,15:50:59,IBM
15,19017,3,0.125,"Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners https://t.co/faDOsfR93H",BitcoinDood,2017-12-14 15:54:15,2017-12-14,15:54:15,IBM
14,9763,0,0.0,Working on your trading strategy is like daily hygiene set aside some side money and test the theory out. https://t.co/TrlFWL9eLA,AlexChoOfficial,2017-12-14 15:55:07,2017-12-14,15:55:07,IBM
13,456,3,0.125,"RT Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners #stocks $…",RichSchultz3,2017-12-14 15:58:32,2017-12-14,15:58:32,IBM
12,127,0,0.0,IBM teams up for quantum computing push $IBM $SSNLF $HMC $JPM $BCS https://t.co/kRMiIc5vGj,minh_vanLe,2017-12-14 16:03:31,2017-12-14,16:03:31,IBM
11,7172,0,-0.4,Blockchain ETFs Profit from the Technology Behind Bitcoin December 14 2017 https://t.co/ONAty25ytd $IBM $BTC https://t.co/zHK2WZuuJx,CryptoNewswire,2017-12-14 16:05:19,2017-12-14,16:05:19,IBM
10,355,3,0.125,"RT Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners #stocks $…",wharveyc,2017-12-14 16:10:58,2017-12-14,16:10:58,IBM
8,1355,0,0.0,$AAPL #APPLE $AXP $BA $CAT $CSCO $CVX $DIS $DWDP $GE $GS $HD $IBM $INTC $JNJ $JPM $KO $MCD $MMM $MRK $MSFT $NKE $V https://t.co/encMaNUfpk,SEEKINGALPHA_FS,2017-12-14 16:23:32,2017-12-14,16:23:32,IBM
9,105969,0,0.0,$AAPL #APPLE $AXP $BA $CAT $CSCO $CVX $DIS $DWDP $GE $GS $HD $IBM $INTC $JNJ $JPM $KO $MCD $MMM $MRK $MSFT $NKE $V https://t.co/uR1zuiIF9R,SeekingAlpha,2017-12-14 16:23:32,2017-12-14,16:23:32,IBM
7,11,0,0.65,There's tons of great companies I love but shares are in stratosphere $BA $APD $HON $ROK .. I'd buy $IBM if it https://t.co/OHlqOIkYo9,JAmendolare,2017-12-14 16:44:55,2017-12-14,16:44:55,IBM
6,14176,0,-0.4,Blockchain ETFs Profit from the Technology Behind Bitcoin $MSFT $OSTK $IBM https://t.co/bEi7ZjXryB,ZacksResearch,2017-12-14 16:50:29,2017-12-14,16:50:29,IBM
5,214452,0,0.0,A Glimpse of #Blockchain Potential &amp Opportunities from #IBM and Attendees of recent #BlockchainExpo https://t.co/vzxEcK5G7T,InvestorIdeas,2017-12-14 17:01:02,2017-12-14,17:01:02,IBM
4,198,0,0.0,$IBM $ORCL Oracle Sales Beat Estimates on Cloud Demand via https://t.co/jURZDymPXI,finzine,2017-12-14 17:18:01,2017-12-14,17:18:01,IBM
3,170,0,0.0,They price drugs like bitcoins anything they damn please #btc #trump #medicare #drugcartel $cost $ibm https://t.co/e89RsQMkpM,IAMGodsHolyWord,2017-12-14 17:34:20,2017-12-14,17:34:20,IBM
2,372,0,0.125,"Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners https://t.co/2SP49pam2r",AkdM_,2017-12-14 17:34:43,2017-12-14,17:34:43,IBM
1,93,0,0.0,Daily rundown...current holdings $aMAMZN $GS $UNP $TPR $SQ $HTZ $BAC $BA $FB $IBM $RH $ROKU https://t.co/CyMbzCQicd,pactrades,2017-12-14 18:00:13,2017-12-14,18:00:13,IBM
